_acc,_f1_macro,_train_loss,_val_loss,bidi,class_weight_smoothing,dropout_lstm,embedding_dim,hidden_dim,label_smoothing,lr_gamma,lr_start,n_lstm_layers,runtime,train_time
0.9435679611650486,0.7650481882295844,0.004203900687086085,0.15303692780435085,true,10.0,0.5,16,128,0.0,0.99,0.05,2,10.16228858500017,10
0.9429611650485437,0.7681822937560542,0.6890674432118734,0.7550292611122131,true,10.0,0.5,16,128,0.1,0.99,0.05,2,10.192689694000364,10
0.9435679611650486,0.7754199994403747,0.006357053279255827,0.15623145923018456,true,5.0,0.5,16,128,0.0,0.99,0.05,2,10.161784848000025,10
0.9447815533980582,0.7789267724276504,0.6788007696469625,0.7647924721240997,true,5.0,0.5,16,128,0.1,0.99,0.05,2,10.186585224000282,10
0.9490291262135923,0.806092707829237,0.01577373957261443,0.1294029736891389,true,10.0,0.7,16,128,0.0,0.99,0.05,2,10.142678332999822,10
0.9405339805825242,0.7800061490527921,0.6937613566716512,0.755683109164238,true,10.0,0.7,16,128,0.1,0.99,0.05,2,10.18439919299999,10
0.941747572815534,0.7902380581928328,0.013753753372778494,0.13407506607472897,true,5.0,0.7,16,128,0.0,0.99,0.05,2,10.161201911000262,10
0.9453883495145631,0.8065938784461709,0.6871068596839904,0.7513409554958344,true,5.0,0.7,16,128,0.1,0.99,0.05,2,10.15999169800034,10
0.9435679611650486,0.7722201614579872,0.0016069955541752278,0.1563231311738491,true,10.0,0.5,23,64,0.0,0.99,0.05,2,10.074925562999852,10
0.9362864077669902,0.7937453295083052,0.6720320820808411,0.7526150494813919,true,10.0,0.5,23,64,0.1,0.99,0.05,2,10.093618077999963,10
0.9490291262135923,0.7955412269292258,0.0011847175880878543,0.1715343464165926,true,5.0,0.5,23,64,0.0,0.99,0.05,2,10.100150874000065,10
0.9405339805825242,0.7676654844760583,0.6776845375696818,0.753502145409584,true,5.0,0.5,23,64,0.1,0.99,0.05,2,10.097690327999771,10
0.9314320388349514,0.7656153610781454,0.011993974912911654,0.1424270235002041,true,10.0,0.7,23,64,0.0,0.99,0.05,2,10.105155169000227,10
0.9435679611650486,0.802505372256734,0.6812605659166971,0.7498644143342972,true,10.0,0.7,23,64,0.1,0.99,0.05,2,10.108679418000065,10
