_acc,_f1_macro,_train_loss,_val_loss,bidi,class_weight_smoothing,dropout_lstm,embedding_dim,hidden_dim,lr_gamma,lr_start,n_lstm_layers,runtime,train_time
0.9495123350545037,0.868123124152536,0.005550782568752766,0.05866609001532197,true,10.0,0.7,16,100,0.99,0.01,2,5.15413036299924,5
0.9368904188181296,0.8753894246357005,0.0077009513974189755,0.07684333808720112,true,10.0,0.7,16,100,0.99,0.02,2,5.131120190999354,5
0.9363166953528399,0.8591026721645797,0.0008297978395906588,0.0751606491394341,true,10.0,0.5,16,64,0.99,0.015,2,5.083020357999885,5
0.9265633964429145,0.8407089092093629,0.0018185108240383367,0.08601907268166542,true,10.0,0.7,16,64,0.99,0.015,2,5.069668219999585,5
0.9328743545611016,0.8447888207413449,0.0022953678310538334,0.0725731416605413,true,10.0,0.5,16,128,0.99,0.015,2,5.241174501999922,5
0.9271371199082042,0.8534354385355825,0.006832248453671734,0.0758714247494936,true,10.0,0.7,16,128,0.99,0.015,2,5.212115861999337,5
0.9305794606999426,0.8453529796504113,0.0002590764022897929,0.09982390515506268,true,10.0,0.5,24,64,0.99,0.015,2,5.115558650999446,5
0.9311531841652324,0.8428077224300967,0.002702846145257354,0.07789900992065668,true,10.0,0.7,24,64,0.99,0.015,2,5.1009724409996124,5
0.9271371199082042,0.8377797122693691,0.0041907515997687975,0.08191130589693785,true,10.0,0.5,24,128,0.99,0.015,2,5.25239813799999,5
0.9311531841652324,0.8571857772202224,0.007550766738131642,0.07052749441936612,true,10.0,0.7,24,128,0.99,0.015,2,5.229491681999207,5
0.9305794606999426,0.8428597172292636,0.0011997855316925174,0.08062308887019753,true,10.0,0.5,32,64,0.99,0.015,2,5.109730151999429,5
0.9374641422834193,0.8629714292367077,0.003316673256146411,0.07096678810194135,true,10.0,0.7,32,64,0.99,0.015,2,5.0927528519996486,5
0.9345955249569707,0.8454926016861293,0.009761538822203875,0.06466204999014735,true,10.0,0.5,32,128,0.99,0.015,2,5.299653409999337,5
0.9351692484222605,0.8180120244905271,0.009898708947002888,0.07628823909908533,true,10.0,0.7,32,128,0.99,0.015,2,5.249317443000109,5
